what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.ui.editors,3.7.0.v20110517-0800,"org.eclipse.ui.editors",1396344086437
started,bundle,org.eclipse.ui.forms,3.5.100.v20110425,"org.eclipse.ui.forms",1396344086568
started,bundle,org.eclipse.ui.ide,3.7.0.v20110809-1737,"org.eclipse.ui.ide",1396344086809
started,bundle,org.eclipse.ui.net,1.2.100.I20110511-0800,"org.eclipse.ui.net",1396344086810
started,bundle,org.eclipse.ui.views,3.6.0.I20110412-0800,"org.eclipse.ui.views",1396344086875
started,bundle,org.eclipse.ui.views.log,1.0.200.v20110404,"org.eclipse.ui.views.log",1396344086889
started,bundle,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"org.eclipse.ui.workbench",1396344087002
started,bundle,org.eclipse.ui.workbench.texteditor,3.7.0.v20110505-0800,"org.eclipse.ui.workbench.texteditor",1396344087029
started,bundle,org.eclipse.update.configurator,3.3.100.v20100512,"org.eclipse.update.configurator",1396344087081
started,bundle,org.eclipse.update.core,3.2.500.v20110330,"org.eclipse.update.core",1396344087176
started,bundle,org.eclipse.update.scheduler,3.2.300.v20100512,"org.eclipse.update.scheduler",1396344087228
started,bundle,org.eclipse.wst.common.project.facet.core,1.4.200.v201103170332,"org.eclipse.wst.common.project.facet.core",1396344087228
started,bundle,org.eclipse.wst.web,1.1.500.v201104251400,"org.eclipse.wst.web",1396344087229
os,sysinfo,,,"linux",1396344087235
arch,sysinfo,,,"x86",1396344087235
ws,sysinfo,,,"gtk",1396344087235
locale,sysinfo,,,"es_ES",1396344087235
processors,sysinfo,,,"1",1396344087236
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1396344087236
java.runtime.version,sysinfo,,,"1.6.0_18-b07",1396344087236
java.specification.name,sysinfo,,,"Java Platform API Specification",1396344087236
java.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1396344087236
java.specification.version,sysinfo,,,"1.6",1396344087236
java.vendor,sysinfo,,,"Sun Microsystems Inc.",1396344087236
